edge_from,edge_to,weight
1,12,19.476
1,2,11.329
2,3,19.064
3,13,13.556
2,4,14.192
4,6,8.721
4,5,6.416
5,6,9.17
6,13,12.241
5,10,14.992
10,11,8.806
11,12,13.645
10,7,15.57
5,7,18.763
7,8,9.736
8,9,9.17
9,15,14.928
15,13,13.129
13,14,15.269
