node,coordinate_x,coordinate_y
1,7.4,6.7
2,6.1,7.1
3,3.9,7.5
4,2.7,6.5
5,1.6,7.5
6,0.5,6.9
7,1.4,4.9
8,1.2,2.8
9,0.8,1.7
10,1.5,1
11,3,0.7
12,6,2
13,8,2.5
14,7,5
15,8.5,5
